name,vault_address,leader,tvl,apr,followers,created_at,is_closed,raw_has_description,pnl_day_last,pnl_week_last,pnl_month_last,pnl_all_time_last,pnl_all_time_max_dd,pnl_all_time_stability,pnl_obs_count,score_apr,score_tvl,score_followers,score_pnl_all,score_drawdown,score_stability,score_data_quality,closed_penalty,composite_score,rank,snapshot_ts_utc,name_detail,leader_detail,apr_detail,followers_detail,leader_fraction,leader_commission,max_distributable,max_withdrawable,allow_deposits,always_close_on_withdraw,is_closed_detail,description_len,av_day_last,av_day_obs,av_week_last,av_week_obs,av_month_last,av_month_obs,av_all_time_last,av_all_time_obs,withdrawable_ratio,score_commission,score_withdrawable,score_av_depth,extended_score,extended_rank,cluster_id,cluster_name
+convexity,0x5661a070eb13c7c55ac3210b2447d4bea426cbf5,0xc6fd7c7bc701c802cf2e75fa19cacd5e4c55af9c,494966.265871,-0.0508140061788955,,2025-08-23T17:40:23.330000+00:00,False,False,-496.605295,-4144.617704,-26581.591579,62591.805871,-38513.833269,24590.90779353928,47,0.9725,0.0038043478260869,0.0,0.0096739130434782,0.953695652173913,0.969891304347826,0.9652173913043478,0.0,0.5519046442687747,3,2026-03-08T03:40:48.086019+00:00,+convexity,0xc6fd7c7bc701c802cf2e75fa19cacd5e4c55af9c,-0.0508140061788955,,0.4520864571860185,0.1,494745.069243,0.0,True,False,False,10,494966.265871,13,494966.265871,62,494966.265871,44,494966.265871,41,0.0,0.5164609053497943,0.5020746887966805,0.779835390946502,0.5683741229399825,1,4,Steady Grinder C4
[ Systemic Strategies ] ♾️ HyperGrowth ♾️,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x2b804617c6f63c040377e95bb276811747006f4b,6831503.023221,-0.079572230015354,,2025-08-29T22:17:22.629000+00:00,False,False,-94977.372045,109844.464749,-590592.708783,1919330.303221,-1317750.425134,926030.458426038,48,0.9780434782608696,0.0006521739130434,0.0,0.0007608695652173,0.9978260869565218,0.9991304347826088,0.8202717391304348,0.0,0.5426988636363637,4,2026-03-08T03:40:48.086019+00:00,[ Systemic Strategies ] ♾️ HyperGrowth ♾️,0x2b804617c6f63c040377e95bb276811747006f4b,-0.07917264122099,,0.0500852155745992,0.1,5846766.321831,0.0,True,False,False,21,6834473.413643,24,6834473.413643,62,6834473.413643,47,6834473.413643,40,0.0,0.5164609053497943,0.5020746887966805,0.8209876543209876,0.5655850138031226,2,4,Steady Grinder C4
BTC/ETH CTA | AIM,0xbeebbbe817a69d60dd62e0a942032bc5414dae1c,0x9660f151ffe595afc65e64d38a55285ed8fd2021,96528.085534,-0.0786553654669882,,2025-07-03T21:18:56.515000+00:00,False,False,14.367917,-68.541747,-8283.305988,316.655534,-21288.090941,9044.564096132452,48,0.9778260869565216,0.0088043478260869,0.0,0.1045652173913043,0.9307608695652174,0.9357608695652174,0.8202717391304348,0.0,0.5530027173913044,2,2026-03-08T03:40:48.086019+00:00,BTC/ETH CTA | AIM,0x9660f151ffe595afc65e64d38a55285ed8fd2021,-0.0794538420399849,,0.2370109922680186,0.1,81688.675272,0.0,True,False,False,27,96443.996855,13,96443.996855,64,96443.996855,46,96443.996855,44,0.0,0.5164609053497943,0.5020746887966805,0.6049382716049383,0.5517079658477233,3,3,Steady Grinder C3
Flagship by Fire Labs,0x632df0dbe24f3dac3e1c4e0596c96a0adc3ba86a,0x1d4b30ea0a731e092a8cb0079666bf1edfbc5f58,17830.617,-0.0190422977334357,,2025-05-08T12:59:32.078000+00:00,False,False,0.0,0.0,-970.925487,2916.057,-49531.619175,32203.152458254248,46,0.9635869565217392,0.0191304347826086,0.0,0.0489130434782608,0.9605434782608696,0.9755434782608696,0.9965217391304348,0.0,0.5669367588932807,1,2026-03-08T03:40:48.086019+00:00,Flagship by Fire Labs,0x1d4b30ea0a731e092a8cb0079666bf1edfbc5f58,-0.0190422977334357,,0.5608331663096796,0.1,17652.310855,0.0,True,False,False,18,17830.617,13,17830.617,62,17830.617,44,17830.617,51,0.0,0.5164609053497943,0.5020746887966805,0.3806584362139917,0.5397305134351108,4,3,Steady Grinder C3
[ Sidelined ] Market Neutral 1,0xf4ab2cb15b7b3fa298555b801e9f5772ba8f8891,0x5797f35b2a81669e85fa8f3ea8816f7054ad1dd4,36060.734871,-0.0069162675705402,,2025-09-06T11:01:09.100000+00:00,False,False,-73.635457,62.827155,-251.142661,3538.264871,-2022.9197540000005,1428.3901211827751,48,0.9570652173913043,0.0142391304347826,0.0,0.045,0.7753260869565217,0.8272826086956522,0.8202717391304348,0.0,0.5048011363636364,14,2026-03-08T03:40:48.086019+00:00,[ Sidelined ] Market Neutral 1,0x5797f35b2a81669e85fa8f3ea8816f7054ad1dd4,-0.0072732379031421,,0.792068347114715,0.1,33382.1919,0.0,True,False,False,152,36047.772608,13,36047.772608,65,36047.772608,46,36047.772608,40,0.0,0.5164609053497943,0.5020746887966805,0.8209876543209876,0.5371617183485773,5,3,Steady Grinder C3
Ethos Intel - Mvault,0x79d3b973bd5bc4c6a98f5d2e0ee6e285910945ae,0xfe15383180f356010ff6d1fd4e4bfc0428770908,7801.167589,-0.0004491345136006,,2025-07-08T17:30:57.604000+00:00,False,False,0.0,-5.233491,-5.233491,3082.587589,-1809.75364,1046.3358116945185,47,0.9519565217391304,0.0284782608695652,0.0,0.0480434782608695,0.7651086956521739,0.7994565217391304,0.9652173913043478,0.0,0.5197924901185771,9,2026-03-08T03:40:48.086019+00:00,Ethos Intel - Mvault,0xfe15383180f356010ff6d1fd4e4bfc0428770908,-0.0004491345136006,,0.9301469668974662,0.1,7693.657697,0.0,True,False,False,243,7801.167589,13,7801.167589,62,7801.167589,45,7801.167589,43,0.0,0.5164609053497943,0.5020746887966805,0.6707818930041153,0.5333846575330955,6,3,Steady Grinder C3
Delta Neutral | R Tech,0xf182de5226dc4fe2f134c9b375281a6f50309416,0x86416d9d3d40d2dc27fb500908bc6da3276706d5,14008.776937,-0.4084109051462119,,2025-11-27T13:27:14.526000+00:00,False,False,283.343094,466.505274,-10168.187833,113.886937,-10394.550559,4631.163916836151,49,0.9932608695652174,0.0221739130434782,0.0,0.1320652173913043,0.8968478260869566,0.9064130434782608,0.5299456521739131,0.0,0.5252112154150198,8,2026-03-08T03:40:48.086019+00:00,Delta Neutral | R Tech,0x86416d9d3d40d2dc27fb500908bc6da3276706d5,-0.4108267528896667,,0.0603360599568173,0.1,8770.098603,0.0,True,False,False,31,13948.629685,13,13948.629685,65,13948.629685,45,13948.629685,44,0.0,0.5164609053497943,0.5020746887966805,0.6049382716049383,0.5308643393655099,7,3,Steady Grinder C3
C.A.T,0xdfb729b4b789de6d13d6ad7ac8e2750909360af9,0x0d60d47b1b995af2a0e98485a9413868ea7effd6,8705.34346,-0.0017746539008145,,2025-11-06T23:41:26.380000+00:00,False,False,493.915652,-69.578278,-15.492704,1904.19346,-1481.386978,1009.6261432407264,49,0.9529347826086956,0.027391304347826,0.0,0.0575,0.7476086956521739,0.7954347826086956,0.5299456521739131,0.0,0.4697270256916996,28,2026-03-08T03:40:48.086019+00:00,C.A.T,0x0d60d47b1b995af2a0e98485a9413868ea7effd6,-0.0023806514248216,,0.9401995275234472,0.1,6142.634514,0.0,True,False,False,96,8700.05311,13,8700.05311,64,8700.05311,46,8700.05311,33,0.0,0.5164609053497943,0.5020746887966805,0.9753086419753086,0.5262882341100568,8,3,Steady Grinder C3
Bitcoin Moving Average Long/Short,0xb1505ad1a4c7755e0eb236aa2f4327bfc3474768,0x1fa1b4c4cda61b3c1ce805ae82e64a90d8821d08,3525535.591923,-0.0528512182967747,,2025-10-02T01:22:00.214000+00:00,False,False,61035.683927,32159.637395,-198836.954218,429189.391923,-451197.3866129999,246110.7261994582,50,0.9730434782608696,0.0010869565217391,0.0,0.0022826086956521,0.9929347826086956,0.9953260869565216,0.2215217391304347,0.0,0.4729446640316206,26,2026-03-08T03:40:48.086019+00:00,Bitcoin Moving Average Long/Short,0x1fa1b4c4cda61b3c1ce805ae82e64a90d8821d08,-0.052525876906138,,0.0506261992087862,0.1,3185334.991923,0.0,True,False,False,61,3526759.591923,20,3526759.591923,58,3526759.591923,46,3526759.591923,36,0.0,0.5164609053497943,0.5020746887966805,0.9218106995884774,0.5233516686263144,9,4,Steady Grinder C4
Overdose,0xe67dbf2d051106b42104c1a6631af5e5a458b682,0xdeb7582b362a752970fbd2507d0fb5dd27ed379a,494241.951692,-0.0467748889943233,,2025-12-07T17:01:50.504000+00:00,False,False,-12496.90072,-21854.395811,-27175.209092,170389.101692,-56031.607601,51929.48345367851,49,0.9719565217391304,0.0039130434782608,0.0,0.0052173913043478,0.9639130434782608,0.9832608695652174,0.5299456521739131,0.0,0.5039365118577075,16,2026-03-08T03:40:48.086019+00:00,Overdose,0xdeb7582b362a752970fbd2507d0fb5dd27ed379a,-0.047187985111473,,0.1914772444272487,0.1,360109.951692,0.0,True,False,False,106,494001.951692,13,494001.951692,61,494001.951692,46,494001.951692,43,0.0,0.5164609053497943,0.5020746887966805,0.6707818930041153,0.5214926738374434,10,4,Steady Grinder C4
