name,vault_address,leader,tvl,apr,followers,created_at,is_closed,raw_has_description,pnl_day_last,pnl_week_last,pnl_month_last,pnl_all_time_last,pnl_all_time_max_dd,pnl_all_time_stability,pnl_obs_count,score_apr,score_tvl,score_followers,score_pnl_all,score_drawdown,score_stability,score_data_quality,closed_penalty,composite_score,rank,snapshot_ts_utc,name_detail,leader_detail,apr_detail,followers_detail,leader_fraction,leader_commission,max_distributable,max_withdrawable,allow_deposits,always_close_on_withdraw,is_closed_detail,description_len,av_day_last,av_day_obs,av_week_last,av_week_obs,av_month_last,av_month_obs,av_all_time_last,av_all_time_obs,withdrawable_ratio,score_commission,score_withdrawable,score_av_depth,extended_score,extended_rank
C.A.T,0xdfb729b4b789de6d13d6ad7ac8e2750909360af9,0x0d60d47b1b995af2a0e98485a9413868ea7effd6,6902.536564,-0.204618373284779,,2025-11-06T23:41:26.380000+00:00,False,False,-15.634921,-1141.181104,-1778.087416,101.386564,-3448.435608,1578.4045030738178,48,0.9881676074685192,0.0299609205384281,0.0,0.1360182370820668,0.8165436387320886,0.8368432479374729,0.8256079027355623,0.0,0.5428677515493625,3,2026-03-11T07:32:53.868260+00:00,C.A.T,0x0d60d47b1b995af2a0e98485a9413868ea7effd6,-0.19794450350019346,,0.9401995275234472,0.1,4229.196983,0.0,True,False,False,96.0,6960.530984,13.0,6960.530984,61.0,6960.530984,44.0,6960.530984,34.0,0.0,0.514,0.5020325203252033,0.954,0.5788130900847861,1
Follow the Money,0x0405e04a717fae31cd3d19242976aa2ffe1ed791,0x00264c7bbfc77f571ae3ceda4f3ddd8ee58a1b7b,4267.916349,-0.0358487325042171,,2025-11-24T08:11:29.685000+00:00,False,False,-75.722356,-136.007281,-365.221058,472.616349,-819.4119599999999,412.90389389853783,48,0.9671081198436822,0.0379939209726443,0.0,0.0923795049934867,0.6867129830655666,0.7113547546678246,0.8256079027355623,0.0,0.5006944992697273,15,2026-03-11T07:32:53.868260+00:00,Follow the Money,0x00264c7bbfc77f571ae3ceda4f3ddd8ee58a1b7b,-0.03267665125586549,,0.9973672861653384,0.1,697.996981,0.0,True,False,False,68.0,4300.232997,13.0,4300.232997,64.0,4300.232997,46.0,4300.232997,33.0,0.0,0.514,0.5020325203252033,0.98,0.5497831508750597,2
Bitcoin Moving Average Long/Short,0xb1505ad1a4c7755e0eb236aa2f4327bfc3474768,0x1fa1b4c4cda61b3c1ce805ae82e64a90d8821d08,3385434.560423,-0.006385316272508,,2025-10-02T01:22:00.214000+00:00,False,False,14922.858336,-136684.63415,-21766.573267,265341.550423,-360419.114677,231885.54080234712,49,0.952887537993921,0.0009769865392965,0.0,0.0030395136778115,0.9915327833260964,0.995223621363439,0.5427160225792445,0.0,0.5048121521335807,11,2026-03-11T07:32:53.868260+00:00,Bitcoin Moving Average Long/Short,0x1fa1b4c4cda61b3c1ce805ae82e64a90d8821d08,-0.0035397802717986203,,0.05000663036025709,0.1,3046614.560423,0.0,True,False,False,61.0,3395134.560423,19.0,3395134.560423,58.0,3395134.560423,45.0,3395134.560423,37.0,0.0,0.514,0.5020325203252033,0.906,0.5454713905229498,3
Equinox · Blackalgo,0x7048b287889c5913d59f812795d7fd5d724be77a,0x3db735d71673b3d57b34f55013b9b25e2d2dd9cf,1070486.70329,-0.0436272503735088,,2026-01-19T13:14:32.273000+00:00,False,False,879.903267,-61681.268523,-51458.854332,6131.87329,-82602.591011,42265.78515776358,48,0.9704732957012592,0.0020625271385149,0.0,0.035497177594442,0.9723187147199304,0.9799174989144596,0.8256079027355623,0.0,0.5445429380649746,2,2026-03-11T07:32:53.868260+00:00,Equinox · Blackalgo,0x3db735d71673b3d57b34f55013b9b25e2d2dd9cf,-0.04339011719652789,,0.2994368395610566,0.1,8585.533917,0.0,True,False,False,168.0,1070766.404658,12.0,1070766.404658,60.0,1070766.404658,47.0,1070766.404658,45.0,0.0,0.514,0.5020325203252033,0.606,0.5452694799714952,4
Jade Lotus Capital,0xbc5bf88fd012612ba92c5bd96e183955801b7fdc,0x10cd85d0257e666fa74de7c03965a6ec9383e171,319928.917685,-0.2489499765497613,,2025-05-26T09:04:28.497000+00:00,False,False,2627.600104,-9776.76098,-106046.593527,192080.157685,-116919.03553199998,69231.23383495612,46,0.9897959183673468,0.0048849326964828,0.0,0.0045592705167173,0.9797003907946156,0.9862136343899262,0.9984259661311332,0.0,0.5636977953657285,1,2026-03-11T07:32:53.868260+00:00,Jade Lotus Capital,0x10cd85d0257e666fa74de7c03965a6ec9383e171,-0.25270606101444715,,0.9772107374859601,0.1,263613.917685,0.0,True,False,False,130.0,318328.917685,13.0,318328.917685,62.0,318328.917685,44.0,318328.917685,50.0,0.0,0.514,0.5020325203252033,0.446,0.5436356229470606,5
BTC/ETH CTA | AIM,0xbeebbbe817a69d60dd62e0a942032bc5414dae1c,0x9660f151ffe595afc65e64d38a55285ed8fd2021,96289.184546,-0.0821263196800488,,2025-07-03T21:18:56.515000+00:00,False,False,3267.144861,-1254.9142,-8660.167169,77.754546,-21288.090941,9052.490502294731,49,0.9789405123751628,0.0087928788536691,0.0,0.1425314806773773,0.9310681719496308,0.935844550586192,0.5427160225792445,0.0,0.5303914360715273,6,2026-03-11T07:32:53.868260+00:00,BTC/ETH CTA | AIM,0x9660f151ffe595afc65e64d38a55285ed8fd2021,-0.08380007158207117,,0.2370109922680186,0.1,80430.938127,0.0,True,False,False,27.0,96112.688493,13.0,96112.688493,62.0,96112.688493,44.0,96112.688493,44.0,0.0,0.514,0.5020325203252033,0.65,0.5390558534764097,6
[ Broadcraft Capital ] Tradewinds,0xe76c9c59157c993ac3cb405defb7992661b57fed,0xe78e0092262c2b443faff2d4412d85268644265c,2447.006693,-0.06770032289002,,2025-11-23T03:57:13.717000+00:00,False,False,-15.288173,-85.280342,-184.614821,324.186693,-260.020452,199.83699277019105,48,0.9759009986973513,0.047112462006079,0.0,0.1036691272253582,0.5753365175857577,0.6257056013894919,0.8256079027355623,0.0,0.4841498736825484,20,2026-03-11T07:32:53.868260+00:00,[ Broadcraft Capital ] Tradewinds,0xe78e0092262c2b443faff2d4412d85268644265c,-0.06674214245725843,,0.943357203258166,0.1,1813.649287,0.0,True,False,False,219.0,2449.619595,13.0,2449.619595,63.0,2449.619595,45.0,2449.619595,33.0,0.0,0.514,0.5020325203252033,0.98,0.5373746816846755,7
Storm,0xae08a2282d969bd0c4bf63a626ab8f8e6200022d,0x70e424703f5e8e7237ccdf04b4908379942b26a5,30789.172619,-0.0272816011223554,,2026-01-26T21:29:51.104000+00:00,False,False,-25.569177,389.212206,-863.536587,789.172619,-3024.417832,994.9112144849074,48,0.9642857142857144,0.0151975683890577,0.0,0.0765306122448979,0.8057967867998264,0.7946157186278767,0.8256079027355623,0.0,0.5155960111317255,9,2026-03-11T07:32:53.868260+00:00,Storm,0x70e424703f5e8e7237ccdf04b4908379942b26a5,-0.029744020894790762,,1.0,0.1,16316.418579,0.0,True,True,False,242.0,30711.230362,13.0,30711.230362,60.0,30711.230362,44.0,30711.230362,43.0,0.0,0.514,0.5020325203252033,0.714,0.5343592847715584,8
[ Sidelined ] Market Neutral 1,0xf4ab2cb15b7b3fa298555b801e9f5772ba8f8891,0x5797f35b2a81669e85fa8f3ea8816f7054ad1dd4,35192.671291,-0.0026603875421076,,2025-09-06T11:01:09.100000+00:00,False,False,50.378318,658.366005,-97.852149,4160.841291,-1787.8097070000003,1449.7069254604946,48,0.9497394702561875,0.0144376899696048,0.0,0.0427702996092053,0.7644376899696048,0.8290273556231003,0.8256079027355623,0.0,0.5019502723720048,14,2026-03-11T07:32:53.868260+00:00,[ Sidelined ] Market Neutral 1,0x5797f35b2a81669e85fa8f3ea8816f7054ad1dd4,-0.003189815058226445,,0.8257772538380743,0.1,32353.233825,0.0,True,False,False,152.0,35173.198331,13.0,35173.198331,63.0,35173.198331,45.0,35173.198331,41.0,0.0,0.514,0.5020325203252033,0.81,0.5337249807017679,9
[ Sidelined ] Market Neutral 2: BTC Maxi,0x257acedf61ffd72abfcde8332a13a1d015930051,0x5797f35b2a81669e85fa8f3ea8816f7054ad1dd4,30463.857271,-0.0105868670359022,,2025-09-07T06:46:40.175000+00:00,False,False,23.353161,368.198282,-396.137215,1819.957271,-3852.175615999999,1595.2083742064858,49,0.955601389491967,0.0153061224489795,0.0,0.0580764220581849,0.8259878419452887,0.8374945722970039,0.5427160225792445,0.0,0.4839549698022342,21,2026-03-11T07:32:53.868260+00:00,[ Sidelined ] Market Neutral 2: BTC Maxi,0x5797f35b2a81669e85fa8f3ea8816f7054ad1dd4,-0.0116784038450876,,0.9025405206891729,0.1,27082.269929,0.0,True,False,False,167.0,30423.014371,14.0,30423.014371,64.0,30423.014371,46.0,30423.014371,40.0,0.0,0.514,0.5020325203252033,0.848,0.5240285037744399,10
