series,idx,value
day,0,0.0
day,1,452.065499
day,2,8002.846246
day,3,6790.856151
day,4,-14322.832213
day,5,-19014.868459
day,6,-13076.597
day,7,-28024.959524
day,8,-31262.149837
day,9,-43708.794254
day,10,-67353.217715
day,11,-94271.896221
day,12,-68018.979917
week,0,0.0
week,1,70847.893096
week,2,72712.544155
week,3,153867.150713
week,4,118340.019934
week,5,309615.458252
week,6,407281.271409
week,7,291156.188395
week,8,185822.566712
week,9,128933.301503
week,10,78433.651098
week,11,54123.465435
month,0,0.0
month,1,74848.0754
month,2,-381293.025237
month,3,-588132.628549
month,4,-513770.844245
month,5,-698004.276767
month,6,-537016.718593
month,7,-451826.792821
month,8,-368807.535204
month,9,-213059.227665
month,10,-262560.810962
month,11,-431794.390402
month,12,-468551.220482
allTime,0,0.0
allTime,1,-405694.013762
allTime,2,70584.195686
allTime,3,3456421.168322
allTime,4,1768760.617199
allTime,5,5911770.460286
allTime,6,-1102360.815939
allTime,7,51651.391116
allTime,8,2192258.265341
allTime,9,5732181.798561
allTime,10,4862309.86428
