series,idx,value
day,0,0.0
day,1,-0.04489
day,2,-0.01845
day,3,-0.009876
day,4,0.030145
day,5,0.04231
day,6,0.027318
day,7,0.020268
day,8,0.049629
day,9,0.057968
day,10,0.112074
day,11,0.143521
week,0,0.0
week,1,-34.704554
week,2,-61.303658
week,3,-62.361273
week,4,-62.642631
week,5,-62.102646
week,6,-63.132316
week,7,-63.129507
week,8,-62.585384
week,9,-62.512934
week,10,-62.411723
month,0,0.0
month,1,-68.997438
month,2,-104.022701
month,3,-105.36417
month,4,-82.435733
month,5,-114.687936
month,6,-149.39249
month,7,-174.175061
month,8,-177.135638
month,9,-176.790582
month,10,-177.821747
month,11,-177.26163
month,12,-177.099659
allTime,0,0.0
allTime,1,-20389.145421
allTime,2,-22648.826607
allTime,3,-22650.306234
allTime,4,-22650.303507
allTime,5,-22473.892089
allTime,6,-23318.810405
allTime,7,-23563.044556
allTime,8,-23506.335674
allTime,9,-23632.480896
allTime,10,-23636.352911
allTime,11,-23635.405494
