series,idx,value
day,0,0.0
day,1,201.538782
day,2,-71.223398
day,3,-48.241509
day,4,-98.787789
day,5,-112.507316
day,6,-42.235755
day,7,-172.123039
day,8,-261.96037
day,9,-44.043944
day,10,5.659272
day,11,171.660075
day,12,-45.281383
week,0,0.0
week,1,-656.276756
week,2,77.922577
week,3,-707.9603
week,4,-1323.092226
week,5,-1079.32254
week,6,-1036.062531
week,7,-1838.970291
week,8,-846.8303
week,9,-347.000373
week,10,-293.099592
week,11,-344.040247
month,0,0.0
month,1,-4242.661326
month,2,-2967.993546
month,3,-3504.016885
month,4,-4541.640987
month,5,-5701.801324
month,6,-5117.933015
month,7,-4838.199654
month,8,-5837.01288
month,9,-5995.99475
month,10,-5760.536291
month,11,-4981.194641
allTime,0,0.0
allTime,1,3163.881496
allTime,2,7166.946291
allTime,3,5626.139936
allTime,4,8040.822236
allTime,5,10282.575495
allTime,6,16134.089729
allTime,7,24013.909772
allTime,8,32493.408502
allTime,9,31116.970113
allTime,10,25217.402825
allTime,11,26135.775472
