series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,0.0
month,2,0.0
month,3,0.0
month,4,0.0
month,5,0.0
month,6,0.0
month,7,0.0
month,8,0.0
month,9,0.0
month,10,0.0
month,11,0.0
month,12,0.0
allTime,0,0.0
allTime,1,83194.135709
allTime,2,143138.2385
allTime,3,140797.09173
allTime,4,139655.693614
allTime,5,140258.035794
allTime,6,143166.852618
allTime,7,141976.593292
allTime,8,129615.889121
allTime,9,115720.742802
allTime,10,111654.702932
allTime,11,111654.702932
