series,idx,value
day,0,0.0
day,1,-24.78439
day,2,6.52483
day,3,23.654994
day,4,36.818513
day,5,31.146428
day,6,38.161515
day,7,17.628815
day,8,78.427014
day,9,75.691724
day,10,84.422397
day,11,101.490782
day,12,105.907612
week,0,0.0
week,1,-188.455734
week,2,52.273516
week,3,-327.912932
week,4,-162.701224
week,5,-458.251624
week,6,-668.594407
week,7,-537.343359
week,8,-443.464149
week,9,-164.016194
week,10,-92.11401
week,11,-64.633412
month,0,0.0
month,1,-825.652445
month,2,-1121.942781
month,3,-1437.230383
month,4,-1228.672217
month,5,-616.365195
month,6,-922.694164
month,7,-1137.737203
month,8,-1277.194401
month,9,-1407.533093
month,10,-1446.520148
month,11,-1102.193678
month,12,-1013.914881
allTime,0,0.0
allTime,1,0.0
allTime,2,0.0
allTime,3,-20.924653
allTime,4,1663.489852
allTime,5,837.837407
allTime,6,541.547071
allTime,7,256.790453
allTime,8,483.370465
allTime,9,381.374754
allTime,10,862.277734
allTime,11,74.024261
allTime,12,649.574971
