series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,-448.661693
month,2,-448.661693
month,3,-448.661693
month,4,-448.661693
month,5,-448.661693
month,6,-448.661693
month,7,-448.661693
month,8,-448.661693
month,9,-448.661693
month,10,-448.661693
month,11,-448.661693
month,12,-448.661693
allTime,0,0.0
allTime,1,0.0
allTime,2,0.0
allTime,3,0.0
allTime,4,0.0
allTime,5,0.0
allTime,6,0.0
allTime,7,0.0
allTime,8,-924.739267
allTime,9,-924.739267
allTime,10,-924.739267
