series,idx,value
day,0,0.0
day,1,32.837338
day,2,28.067749
day,3,20.078678
day,4,18.851717
day,5,61.641748
day,6,8.612272
day,7,12.304113
day,8,-5.042148
day,9,-2.680962
day,10,-16.246908
day,11,-24.288133
day,12,-11.920011
week,0,0.0
week,1,215.917976
week,2,138.934792
week,3,115.915435
week,4,2.611519
week,5,-17.154902
week,6,-56.011693
week,7,30.175155
week,8,25.996093
week,9,96.174016
week,10,73.414376
week,11,64.175327
month,0,0.0
month,1,-271.962426
month,2,-136.30016
month,3,-165.650918
month,4,-372.413025
month,5,-223.842105
month,6,-185.387332
month,7,13.892487
month,8,-191.150418
month,9,-219.145771
month,10,-139.016635
month,11,-137.576304
allTime,0,0.0
allTime,1,345.494871
allTime,2,-40.947516
allTime,3,-149.504878
allTime,4,552.067541
allTime,5,1892.966344
allTime,6,2600.716435
allTime,7,2459.632295
allTime,8,1646.687488
allTime,9,318.699372
allTime,10,176.209145
