series,idx,value
day,0,0.0
day,1,276.101743
day,2,678.185233
day,3,267.915384
day,4,103.312663
day,5,332.319072
day,6,388.424355
day,7,664.911927
day,8,1018.728232
day,9,995.933642
day,10,1053.655962
day,11,1282.501171
week,0,0.0
week,1,3921.376042
week,2,3758.686465
week,3,-4612.290134
week,4,-4073.796871
week,5,-4073.796871
week,6,-4073.796871
week,7,-4020.129853
week,8,-3138.537527
week,9,-1351.395074
week,10,-962.970719
week,11,-68.893903
month,0,0.0
month,1,-1961.361927
month,2,-738.992302
month,3,-3383.366865
month,4,-13332.903197
month,5,-705.781088
month,6,8158.903825
month,7,3413.838598
month,8,-5119.827578
month,9,-4581.334315
month,10,-4402.71068
month,11,-1650.497257
month,12,-576.431347
allTime,0,0.0
allTime,1,19320.908441
allTime,2,17359.546514
allTime,3,18581.916139
allTime,4,15937.541576
allTime,5,5988.005244
allTime,6,18615.127353
allTime,7,24137.88545
allTime,8,14408.08696
allTime,9,14739.574126
allTime,10,14917.983511
allTime,11,17794.294995
allTime,12,18744.477094
