series,idx,value
day,0,0.0
day,1,0.974939
day,2,1.280127
day,3,2.285729
day,4,1.121482
day,5,0.661377
day,6,1.47877
day,7,3.072968
day,8,3.616311
day,9,4.624574
day,10,4.665127
day,11,4.753663
day,12,4.236818
week,0,0.0
week,1,-4.038769
week,2,8.343035
week,3,-1.420276
week,4,3.188027
week,5,-32.442861
week,6,-25.44576
week,7,-18.188946
week,8,-5.224619
week,9,-3.277352
week,10,-0.941168
week,11,-0.320661
month,0,0.0
month,1,-138.93873
month,2,-128.676308
month,3,-179.034189
month,4,-182.570464
month,5,-216.132788
month,6,-165.533354
month,7,-184.722865
month,8,-183.640761
month,9,-223.482544
month,10,-206.430771
month,11,-191.430751
month,12,-191.85906
allTime,0,0.0
allTime,1,-39.709857
allTime,2,10.596976
allTime,3,-48.424883
allTime,4,133.832789
allTime,5,178.632896
allTime,6,139.585843
allTime,7,150.248159
allTime,8,176.797672
allTime,9,128.348062
allTime,10,133.056998
allTime,11,122.137125
allTime,12,125.712566
