series,idx,value
day,0,0.0
day,1,-11.42442
day,2,-34.883027
day,3,-15.099033
day,4,9.674229
day,5,-46.077983
day,6,-2.656498
day,7,-8.412978
day,8,8.928042
day,9,-2.593719
day,10,13.57738
day,11,8.939091
day,12,3.358863
week,0,0.0
week,1,-6.277395
week,2,39.074429
week,3,100.102511
week,4,143.795471
week,5,156.233512
week,6,160.260331
week,7,136.489459
week,8,102.779605
week,9,87.861747
week,10,91.764898
week,11,81.546381
month,0,0.0
month,1,-3.384556
month,2,-23.714435
month,3,-20.269633
month,4,-8.325591
month,5,-21.252001
month,6,-11.169925
month,7,-21.339752
month,8,106.507533
month,9,128.890816
month,10,99.136232
month,11,67.625693
allTime,0,0.0
allTime,1,355.379038
allTime,2,258.993523
allTime,3,840.13868
allTime,4,915.295988
allTime,5,267.760578
allTime,6,65.167423
allTime,7,93.638627
allTime,8,125.623786
allTime,9,120.604473
allTime,10,209.482167
