series,idx,value
day,0,0.0
day,1,6968.055501
day,2,11179.605407
day,3,11024.933009
day,4,2298.786579
day,5,-18261.929434
day,6,-10109.365453
day,7,-10779.078132
day,8,-16985.709896
day,9,-5117.279932
day,10,9865.282302
day,11,-5766.194707
day,12,-22805.957406
day,13,-24064.985538
week,0,0.0
week,1,46138.313889
week,2,76025.043317
week,3,92762.669704
week,4,19759.54529
week,5,-24953.648481
week,6,158726.701295
week,7,160632.504912
week,8,118386.312876
week,9,84642.019339
week,10,63583.241725
week,11,71149.737448
week,12,37219.469608
month,0,0.0
month,1,-118147.41852
month,2,-317998.91563
month,3,-286322.844216
month,4,-319870.929458
month,5,-345698.581681
month,6,-385609.494114
month,7,-252703.707198
month,8,-203087.641186
month,9,-287131.399625
month,10,-137093.93492
month,11,-224134.720595
month,12,-259224.639142
allTime,0,0.0
allTime,1,-128793.113428
allTime,2,-130321.390506
allTime,3,126612.630698
allTime,4,789959.761049
allTime,5,985107.28078
allTime,6,1552559.997701
allTime,7,727873.742787
allTime,8,813285.582856
allTime,9,1075768.154237
allTime,10,799207.438297
allTime,11,851425.086083
