series,idx,value
day,0,0.0
day,1,8133.816404
day,2,1756.260273
day,3,689.185527
day,4,-8895.727241
day,5,-18239.565839
day,6,-2829.080596
day,7,8574.617966
day,8,-1975.547682
day,9,-6577.510903
day,10,-7505.660903
week,0,0.0
week,1,-18403.18467
week,2,10093.30195
week,3,736.934256
week,4,12473.119816
week,5,21587.451748
week,6,37233.775455
week,7,13958.260236
week,8,44569.278834
week,9,55669.581531
week,10,50514.888515
week,11,58717.937688
week,12,49037.454853
month,0,0.0
month,1,-16283.076241
month,2,-18219.07383
month,3,-5889.269383
month,4,-25838.126675
month,5,37470.838885
month,6,129390.340192
month,7,141479.095028
month,8,169794.595876
month,9,188769.329677
month,10,191845.967454
month,11,212394.422342
month,12,196314.143473
allTime,0,0.0
allTime,1,-10900.435498
allTime,2,-7121.405273
allTime,3,-71238.703922
allTime,4,-156503.605425
allTime,5,-89736.108927
allTime,6,-53972.854069
allTime,7,-90654.512717
allTime,8,11464.413581
allTime,9,81948.190505
allTime,10,122171.172834
allTime,11,114656.501305
