series,idx,value
day,0,0.0
day,1,0.838162
day,2,2.991569
day,3,1.428308
day,4,1.986816
day,5,4.228779
day,6,0.33484
day,7,0.861763
day,8,-1.062426
day,9,-1.284146
day,10,-0.138727
day,11,-1.064699
day,12,1.68183
week,0,0.0
week,1,8.446294
week,2,-3.466483
week,3,-12.547776
week,4,-15.024185
week,5,-24.030547
week,6,-23.809699
week,7,-17.698211
week,8,-21.137485
week,9,-17.514122
week,10,-20.226576
week,11,-17.2606
month,0,0.0
month,1,-23.722094
month,2,-39.231561
month,3,-47.810957
month,4,-134.284852
month,5,-166.045711
month,6,-188.529536
month,7,-184.70967
month,8,-203.159844
month,9,-212.555019
month,10,-208.916264
month,11,-204.880028
allTime,0,0.0
allTime,1,84.319039
allTime,2,291.969371
allTime,3,640.536483
allTime,4,558.771156
allTime,5,572.047595
allTime,6,547.919578
allTime,7,466.884765
allTime,8,404.421924
allTime,9,393.805087
allTime,10,377.175611
allTime,11,377.613222
