series,idx,value
day,0,0.0
day,1,62.687441
day,2,118.62469
day,3,213.643993
day,4,45.742469
day,5,-40.779645
day,6,74.236828
day,7,69.704798
day,8,56.467113
day,9,155.389755
day,10,290.063856
day,11,185.521008
day,12,252.734408
week,0,0.0
week,1,0.0
week,2,0.0
week,3,117.547502
week,4,-303.429454
week,5,319.842374
week,6,319.842374
week,7,319.842374
week,8,321.685521
week,9,557.483891
week,10,495.326314
week,11,691.593609
month,0,0.0
month,1,390.352521
month,2,-6609.448854
month,3,-5336.808515
month,4,-5601.959903
month,5,-4847.052224
month,6,-4962.430727
month,7,-5985.826812
month,8,-6289.256266
month,9,-5665.984438
month,10,-5665.984438
month,11,-5391.577856
month,12,-5294.233203
allTime,0,0.0
allTime,1,3303.383936
allTime,2,7020.87205
allTime,3,-249.798148
allTime,4,600.870986
allTime,5,340.740417
allTime,6,-652.345495
allTime,7,1267.571214
allTime,8,128.796626
allTime,9,-174.632828
allTime,10,448.639
allTime,11,820.390235
