series,idx,value
day,0,0.0
day,1,10.150269
day,2,28.534179
day,3,-28.919248
day,4,-6.684034
day,5,-69.403233
day,6,-30.232728
day,7,-13.762004
day,8,-18.83987
day,9,-19.386047
day,10,-41.149787
day,11,-62.098527
day,12,-52.874094
week,0,0.0
week,1,119.576936
week,2,4.212654
week,3,206.429205
week,4,258.642388
week,5,409.967811
week,6,559.102676
week,7,580.337391
week,8,413.357943
week,9,182.192086
week,10,158.279813
week,11,119.167723
month,0,0.0
month,1,-783.780655
month,2,-860.79076
month,3,-877.768854
month,4,-897.898882
month,5,-1349.119135
month,6,-1166.905994
month,7,-999.361259
month,8,-782.172455
month,9,-634.893854
month,10,-589.965555
month,11,-935.137997
month,12,-957.779363
allTime,0,0.0
allTime,1,1171.621929
allTime,2,-106.545813
allTime,3,2437.094367
allTime,4,2373.434312
allTime,5,2445.78708
allTime,6,1236.112482
allTime,7,5385.434127
allTime,8,4193.865323
allTime,9,4059.505678
allTime,10,1996.591161
allTime,11,2247.263686
