series,idx,value
day,0,0.0
day,1,33.622001
day,2,42.142621
day,3,-101.169898
day,4,63.591574
day,5,29.192008
day,6,-31.76849
day,7,-78.333721
day,8,-78.333721
day,9,-79.385819
day,10,-79.385819
day,11,-79.385819
day,12,-79.385819
week,0,0.0
week,1,0.0
week,2,-0.08
week,3,-2062.674648
week,4,-2062.676351
week,5,-855.984939
week,6,-533.92695
week,7,-616.412727
week,8,1460.555315
week,9,1354.153539
week,10,1211.176146
week,11,1211.176146
month,0,0.0
month,1,-1205.706355
month,2,-1411.489557
month,3,-2440.343695
month,4,-1541.332856
month,5,-184.79316
month,6,-1005.653116
month,7,147.399248
month,8,-1215.406332
month,9,-2200.366782
month,10,407.195437
month,11,1480.103834
month,12,1358.575394
allTime,0,0.0
allTime,1,1343.330318
allTime,2,4382.111116
allTime,3,9094.538611
allTime,4,7860.104207
allTime,5,7446.744003
allTime,6,-2682.502737
allTime,7,-5314.016526
allTime,8,2764.947726
allTime,9,6144.896026
allTime,10,8890.209639
