series,idx,value
day,0,0.0
day,1,1469.263211
day,2,-266.99479
day,3,1191.10551
day,4,-857.972256
day,5,-2660.060862
day,6,-1637.317218
day,7,-1822.912847
day,8,383.377235
day,9,1808.063412
day,10,-52.277733
day,11,-523.252655
week,0,0.0
week,1,5678.85258
week,2,1735.614684
week,3,-1269.158243
week,4,2097.772341
week,5,5167.670505
week,6,10829.158384
week,7,12852.790027
week,8,23307.155621
week,9,25630.683601
week,10,26247.641503
week,11,23916.325436
month,0,0.0
month,1,-6303.23519
month,2,-8792.198288
month,3,-6095.725965
month,4,-15057.278729
month,5,3183.392258
month,6,14348.110242
month,7,11331.672997
month,8,8865.664612
month,9,15502.492116
month,10,33599.158409
month,11,34167.701146
month,12,33696.726224
allTime,0,0.0
allTime,1,2507.835496
allTime,2,23382.349128
allTime,3,-30684.311025
allTime,4,29201.488748
allTime,5,21162.97597
allTime,6,10139.825045
allTime,7,9730.017965
allTime,8,32887.09061
allTime,9,37440.406037
allTime,10,45123.724354
allTime,11,58435.075612
