series,idx,value
day,0,0.0
day,1,-39.682508
day,2,-24.963811
day,3,-21.763908
day,4,-43.830537
day,5,-24.381931
day,6,84.586163
day,7,75.888943
day,8,79.72877
day,9,82.452378
day,10,93.57506
day,11,89.022095
day,12,87.014486
week,0,0.0
week,1,36.296214
week,2,123.274243
week,3,116.8114
week,4,138.681739
week,5,99.703684
week,6,59.034811
week,7,34.197276
week,8,-136.011783
week,9,-163.863047
week,10,-59.170466
week,11,-51.88475
month,0,0.0
month,1,66.210519
month,2,-7.041059
month,3,233.140646
month,4,703.546435
month,5,-245.9834
month,6,-543.047235
month,7,-435.157124
month,8,-269.027846
month,9,-398.804034
month,10,-567.022789
month,11,-548.500612
month,12,-543.938504
allTime,0,0.0
allTime,1,12.416743
allTime,2,3227.05041
allTime,3,513.568021
allTime,4,402.415757
allTime,5,2786.213938
allTime,6,3668.349978
allTime,7,3462.125355
allTime,8,3937.910039
allTime,9,3775.812859
allTime,10,3118.71696
allTime,11,3284.617391
allTime,12,3124.411474
