series,idx,value
day,0,0.0
day,1,-83.818702
day,2,-141.690391
day,3,-264.919181
day,4,-122.894731
day,5,-320.156432
day,6,-260.906853
day,7,-588.690072
day,8,-267.377122
day,9,-186.114324
day,10,121.686289
day,11,364.540038
day,12,520.688838
day,13,554.486994
week,0,0.0
week,1,1784.586949
week,2,1394.455511
week,3,996.663788
week,4,2876.244634
week,5,3006.22281
week,6,3590.736264
week,7,5281.41265
week,8,7598.925908
week,9,7429.599561
week,10,8211.195252
week,11,8244.993408
month,0,0.0
month,1,-2559.376794
month,2,-6331.808181
month,3,-1402.046948
month,4,-11669.370104
month,5,-17197.735968
month,6,-7803.3123
month,7,-6748.719304
month,8,-8404.61766
month,9,-6368.800327
month,10,-1683.936916
month,11,-939.245749
month,12,-749.298793
allTime,0,0.0
allTime,1,37149.28877
allTime,2,28826.533021
allTime,3,23877.234429
allTime,4,29713.208893
allTime,5,32188.734441
allTime,6,20346.729065
allTime,7,27844.842115
allTime,8,29396.261869
allTime,9,30392.768523
allTime,10,34935.361736
allTime,11,35631.539121
