series,idx,value
day,0,0.0
day,1,-139.169017
day,2,121.925548
day,3,27.864641
day,4,184.194226
day,5,147.321219
day,6,286.200892
day,7,370.089552
day,8,136.691881
day,9,41.782124
day,10,274.306516
day,11,238.155823
day,12,165.278658
week,0,0.0
week,1,-10.659526
week,2,-279.438807
week,3,-1173.950885
week,4,-2320.794269
week,5,-4379.771609
week,6,-3867.51139
week,7,-4496.813067
week,8,-6167.046999
week,9,-6310.220301
week,10,-6390.363725
week,11,-6266.867191
month,0,0.0
month,1,-19491.231947
month,2,-17796.27332
month,3,-17573.613611
month,4,-18075.319088
month,5,-24895.469209
month,6,-29698.757456
month,7,-30325.855243
month,8,-32062.093576
month,9,-33580.217886
month,10,-34733.491319
month,11,-36600.020347
month,12,-36582.062908
allTime,0,0.0
allTime,1,-1543.461489
allTime,2,-1181.290275
allTime,3,1853.391053
allTime,4,4337.667155
allTime,5,9404.682842
allTime,6,15479.075295
allTime,7,10668.5129
allTime,8,18106.738156
allTime,9,57069.477448
allTime,10,29118.669629
allTime,11,20487.41454
