series,idx,value
day,0,0.0
day,1,5.966131
day,2,1.498208
day,3,-90.058521
day,4,-140.787807
day,5,-76.369157
day,6,-76.371058
day,7,-86.536844
day,8,-67.683516
day,9,-117.801696
day,10,-139.33695
day,11,-107.685391
week,0,0.0
week,1,8.360947
week,2,-95.178043
week,3,271.9581
week,4,283.909568
week,5,1128.190673
week,6,1278.004206
week,7,886.092507
week,8,550.487129
week,9,397.681955
week,10,328.500231
week,11,288.498356
month,0,0.0
month,1,121.315151
month,2,-1057.207186
month,3,-960.079448
month,4,-939.372591
month,5,-1447.402884
month,6,-1309.404349
month,7,-1057.384231
month,8,-595.239051
month,9,-643.020346
month,10,-117.28874
month,11,-761.666123
month,12,-728.563707
allTime,0,0.0
allTime,1,1607.87047
allTime,2,4766.798172
allTime,3,2988.669282
allTime,4,4568.512432
allTime,5,4367.72393
allTime,6,1502.460033
allTime,7,1308.224959
allTime,8,822.987909
allTime,9,1188.407388
allTime,10,1366.215628
