series,idx,value
day,0,0.0
day,1,175.029091
day,2,177.067946
day,3,165.545191
day,4,50.820948
day,5,-32.034538
day,6,-40.24915
day,7,51.926292
day,8,111.350789
day,9,164.947992
day,10,158.272803
day,11,-69.300463
day,12,-59.892924
week,0,0.0
week,1,260.578666
week,2,257.488955
week,3,1058.431966
week,4,1003.046167
week,5,1015.216318
week,6,788.483765
week,7,430.64767
week,8,358.01587
week,9,661.197333
week,10,595.480176
week,11,424.236463
month,0,0.0
month,1,-1999.560494
month,2,6194.47074
month,3,-1341.734529
month,4,3078.512498
month,5,8733.539084
month,6,6778.029383
month,7,7724.421828
month,8,8465.166657
month,9,8568.31205
month,10,7956.598282
month,11,7969.830849
month,12,7950.187075
allTime,0,0.0
allTime,1,17.890279
allTime,2,17.890279
allTime,3,250.899957
allTime,4,-3140.956979
allTime,5,4688.179331
allTime,6,708.485391
allTime,7,-760.993914
allTime,8,-1825.535754
allTime,9,12670.206172
allTime,10,23851.183259
