series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,0.0
month,2,0.0
month,3,0.0
month,4,-11.503549
month,5,-11.503549
month,6,-11.503549
month,7,-11.503549
month,8,-11.503549
month,9,-11.503549
month,10,-11.503549
month,11,-11.503549
month,12,-11.503549
allTime,0,0.0
allTime,1,286653.814616
allTime,2,1118940.137905
allTime,3,2732006.235201
allTime,4,4904443.373925
allTime,5,5079400.048959
allTime,6,14211557.270531
allTime,7,14789656.450325
allTime,8,16180253.426751
allTime,9,43926804.82
allTime,10,44008016.516451
