series,idx,value
day,0,0.0
day,1,-1789.137589
day,2,-3558.199339
day,3,-6103.085721
day,4,-1582.064352
day,5,2091.451916
day,6,160.570944
day,7,-1409.676157
day,8,-6293.841279
day,9,-9771.167459
day,10,-11291.815295
day,11,-10927.267359
day,12,-9224.70636
week,0,0.0
week,1,-2019.264686
week,2,-2871.683126
week,3,29753.86869
week,4,11521.173432
week,5,59686.17611
week,6,47760.490223
week,7,23824.957358
week,8,2185.513301
week,9,4070.411339
week,10,4449.872771
week,11,-3365.157432
month,0,0.0
month,1,17174.64214
month,2,7734.782231
month,3,-21821.800381
month,4,-27935.889081
month,5,-10284.049944
month,6,-66991.763682
month,7,-3652.422946
month,8,13593.873862
month,9,30114.350805
month,10,438.983911
month,11,-17603.993772
month,12,-26989.271076
allTime,0,0.0
allTime,1,9087.940604
allTime,2,182882.197764
allTime,3,318622.561869
allTime,4,173183.446314
allTime,5,436620.610812
allTime,6,480017.304642
allTime,7,660228.587728
allTime,8,657816.107774
allTime,9,638731.634573
allTime,10,389731.494433
allTime,11,409362.539069
