series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,-1.29
day,8,-1.29
day,9,-1.29
day,10,-1.29
day,11,-1.29
day,12,-1.29
day,13,-1.29
week,0,0.0
week,1,-0.35
week,2,-0.35
week,3,-0.35
week,4,-0.35
week,5,-0.7
week,6,-0.7
week,7,-0.7
week,8,-0.7
week,9,-0.7
week,10,-1.99
week,11,-1.99
month,0,0.0
month,1,0.0
month,2,0.0
month,3,0.0
month,4,-0.75
month,5,-1.01
month,6,-1.01
month,7,-1.36
month,8,-1.36
month,9,-1.71
month,10,-1.71
month,11,-1.71
month,12,-3.0
allTime,0,0.0
allTime,1,3743.940123
allTime,2,-5011.414304
allTime,3,-7873.25211
allTime,4,-1628.748291
allTime,5,6167.224892
allTime,6,51975.225761
allTime,7,64078.436921
allTime,8,66300.779683
allTime,9,66300.781326
allTime,10,66297.781326
allTime,11,66297.781326
