series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,-28.462986
month,2,-28.462986
month,3,-28.462986
month,4,-28.462986
month,5,-28.462986
month,6,-28.462986
month,7,-28.462986
month,8,-28.462986
month,9,-28.462986
month,10,-28.462986
month,11,-28.462986
month,12,-28.462986
allTime,0,0.0
allTime,1,390.624851
allTime,2,1865.488939
allTime,3,925.615863
allTime,4,3548.430903
allTime,5,2319.942462
allTime,6,-25.567809
allTime,7,2339.005083
allTime,8,2338.992623
allTime,9,2159.687935
allTime,10,2159.687935
allTime,11,2159.687935
