series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,-0.801939
day,4,3.263485
day,5,3.263485
day,6,3.263485
day,7,3.263485
day,8,3.263485
day,9,-0.939272
day,10,1.168615
day,11,5.969339
day,12,3.53311
day,13,4.048493
week,0,0.0
week,1,-228.425491
week,2,-191.934904
week,3,-83.45115
week,4,-86.448376
week,5,-84.258822
week,6,-66.968857
week,7,-62.644185
week,8,-55.959321
week,9,-54.177497
week,10,-50.914012
week,11,-50.129004
month,0,0.0
month,1,5.577741
month,2,-126.670342
month,3,149.230548
month,4,-254.031337
month,5,-108.48667
month,6,-189.079839
month,7,-517.188232
month,8,-372.219604
month,9,-370.191586
month,10,-352.214235
month,11,-339.682466
month,12,-338.897458
allTime,0,0.0
allTime,1,-487.308847
allTime,2,-779.360119
allTime,3,-896.517563
allTime,4,-1159.953818
allTime,5,-1572.666078
allTime,6,2151.914213
allTime,7,2025.243871
allTime,8,1897.882876
allTime,9,1634.725981
allTime,10,1813.016755
