series,idx,value
day,0,0.0
day,1,-15.629609
day,2,-2.609055
day,3,-20.880369
day,4,23.536604
day,5,-7.300779
day,6,-3.507449
day,7,17.538805
day,8,51.71817
day,9,58.835264
day,10,70.988638
day,11,70.221687
week,0,0.0
week,1,15.160159
week,2,34.252829
week,3,-60.848111
week,4,-26.923884
week,5,-152.021339
week,6,-134.521358
week,7,-130.663775
week,8,-102.873619
week,9,5.139543
week,10,38.307957
week,11,90.990839
month,0,0.0
month,1,298.613064
month,2,525.989812
month,3,38.169789
month,4,67.152881
month,5,652.336687
month,6,663.88493
month,7,555.406549
month,8,577.97423
month,9,632.00113
month,10,596.909628
month,11,666.011374
month,12,757.11343
allTime,0,0.0
allTime,1,-13196.544426
allTime,2,4380.587911
allTime,3,4449.353203
allTime,4,8359.039429
allTime,5,9076.128112
allTime,6,21512.726728
allTime,7,25253.800843
allTime,8,24123.177902
allTime,9,25526.38582
allTime,10,25875.430384
allTime,11,26039.291146
