series,idx,value
day,0,0.0
day,1,2.537689
day,2,0.75625
day,3,1.324946
day,4,0.940077
day,5,0.937106
day,6,1.889623
day,7,4.939732
day,8,3.792475
day,9,4.996217
day,10,4.548567
day,11,1.179188
day,12,2.199992
week,0,0.0
week,1,4.677085
week,2,0.331787
week,3,4.196254
week,4,1.919195
week,5,12.883221
week,6,13.374108
week,7,7.382506
week,8,0.25744
week,9,-1.919125
week,10,1.689365
week,11,-0.65921
month,0,0.0
month,1,-15.821622
month,2,3.37696
month,3,-14.369194
month,4,-37.346552
month,5,-32.170132
month,6,-21.102598
month,7,-20.578336
month,8,-13.223418
month,9,-22.1091
month,10,-26.765849
allTime,0,0.0
allTime,1,-412.754781
allTime,2,-448.909122
allTime,3,-500.418801
allTime,4,-506.543634
allTime,5,-480.869394
allTime,6,-488.971134
allTime,7,-511.106617
allTime,8,-503.868557
allTime,9,-504.239811
allTime,10,-503.611117
allTime,11,-504.527767
