series,idx,value
day,0,0.0
day,1,874.642182
day,2,-7483.360051
day,3,-7483.360051
day,4,-7483.360051
day,5,-7483.360051
day,6,-7483.360051
day,7,-7483.360051
day,8,-7483.360051
day,9,-7483.360051
day,10,-7483.360051
day,11,-7483.360051
day,12,-7483.360051
day,13,-7483.360051
week,0,0.0
week,1,0.0
week,2,-4460.769914
week,3,54845.620299
week,4,61002.722501
week,5,62934.20975
week,6,62934.20975
week,7,62934.20975
week,8,62934.20975
week,9,50322.239547
week,10,50322.239547
week,11,50322.239547
month,0,0.0
month,1,0.0
month,2,0.0
month,3,0.0
month,4,0.0
month,5,0.0
month,6,-705.095781
month,7,53044.655739
month,8,62934.20975
month,9,57805.599598
month,10,50322.239547
allTime,0,0.0
allTime,1,48.287085
allTime,2,48.212891
allTime,3,-8081.170121
allTime,4,-15313.284082
allTime,5,-15313.284082
allTime,6,-15313.29429
allTime,7,-15313.29429
allTime,8,-15313.29429
allTime,9,-15313.299996
allTime,10,35008.939551
