series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,0.0
month,2,0.0
month,3,0.0
month,4,0.0
month,5,-0.002302
month,6,-0.002302
month,7,-0.002302
month,8,-0.002302
month,9,-0.002302
month,10,-0.002302
month,11,-0.002302
month,12,-0.002302
allTime,0,0.0
allTime,1,-733.507137
allTime,2,-6860.181486
allTime,3,-14548.483997
allTime,4,76326.397002
allTime,5,169527.617036
allTime,6,143741.967143
allTime,7,143741.967143
allTime,8,143741.920318
allTime,9,143741.900914
allTime,10,143741.880223
allTime,11,143741.877921
