series,idx,value
day,0,0.0
day,1,105.495699
day,2,88.853096
day,3,94.539128
day,4,-8.770441
day,5,-149.197983
day,6,-103.419147
day,7,-83.868977
day,8,-143.706643
day,9,-130.573925
day,10,-287.323956
day,11,-294.680796
day,12,-293.276674
week,0,0.0
week,1,-128.944329
week,2,32.974843
week,3,-1297.017923
week,4,-831.037229
week,5,712.587749
week,6,1217.480519
week,7,1498.19981
week,8,-828.772864
week,9,-961.145122
week,10,-1199.390893
week,11,-1348.960924
month,0,0.0
month,1,-2434.983656
month,2,-2429.680307
month,3,-1163.274155
month,4,-1133.124011
month,5,-1232.659519
month,6,-2400.733113
month,7,-391.127441
month,8,171.475397
month,9,-1754.178164
month,10,-2452.676114
allTime,0,0.0
allTime,1,-2.159625
allTime,2,45.65829
allTime,3,-5291.628499
allTime,4,-11388.961815
allTime,5,-13112.869132
allTime,6,-11721.135988
allTime,7,-12009.86837
allTime,8,-10468.179005
allTime,9,-12268.528626
allTime,10,-13040.688091
