series,idx,value
day,0,0.0
day,1,232.830904
day,2,1179.572419
day,3,775.909237
day,4,788.335205
day,5,1729.3083
day,6,2004.749182
day,7,-938.42884
day,8,-624.642886
day,9,-974.381314
day,10,-319.691495
day,11,-1575.908105
day,12,-1605.775446
day,13,-944.5045
week,0,0.0
week,1,6664.144608
week,2,4874.688177
week,3,3391.873254
week,4,-2818.320649
week,5,-4351.188414
week,6,-3814.628668
week,7,-2639.212451
week,8,-2211.71653
week,9,607.80404
week,10,-487.796692
week,11,-1112.609697
month,0,0.0
month,1,-6154.757461
month,2,1914.75279
month,3,-1273.836025
month,4,-12971.314587
month,5,-4862.655067
month,6,-379.763222
month,7,5076.656504
month,8,-2596.564741
month,9,-5211.589456
month,10,-2526.780129
month,11,-1118.729188
month,12,-1743.542193
allTime,0,0.0
allTime,1,11211.951216
allTime,2,27057.446305
allTime,3,49913.603485
allTime,4,86292.147859
allTime,5,84719.149839
allTime,6,24652.801887
allTime,7,62660.1683
allTime,8,41532.706892
allTime,9,83159.540098
allTime,10,40566.855293
allTime,11,41679.596835
