series,idx,value
day,0,0.0
day,1,25.74635
day,2,148.562147
day,3,209.251425
day,4,185.255251
day,5,318.42071
day,6,364.555224
day,7,437.176126
day,8,469.048685
day,9,457.392532
day,10,530.988003
day,11,655.827289
week,0,0.0
week,1,2.444893
week,2,-218.542402
week,3,-1796.254323
week,4,-2440.818911
week,5,-1337.527551
week,6,-1650.739744
week,7,-2264.122188
week,8,-2428.574065
week,9,-2325.815837
week,10,-1961.260613
week,11,-1669.988548
month,0,0.0
month,1,-3178.986262
month,2,-2353.389755
month,3,-1120.328038
month,4,-1680.461491
month,5,-3244.882958
month,6,-3461.80891
month,7,-3139.191935
month,8,-4531.387576
month,9,-5007.407437
month,10,-5426.153986
month,11,-5302.592384
month,12,-4832.020346
allTime,0,0.0
allTime,1,2291.657108
allTime,2,2437.38546
allTime,3,6196.113056
allTime,4,4216.635314
allTime,5,12296.275998
allTime,6,17918.1318
allTime,7,17832.306361
allTime,8,14701.800054
allTime,9,14355.286622
allTime,10,9861.428855
allTime,11,10394.614742
