series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,823.367798
week,2,269.594452
week,3,823.076888
week,4,186.883583
week,5,186.883583
week,6,186.883583
week,7,186.883583
week,8,186.883583
week,9,186.883583
week,10,186.883583
week,11,186.883583
month,0,0.0
month,1,1793.658416
month,2,1739.686048
month,3,1168.229386
month,4,35.781105
month,5,-710.36259
month,6,201.326313
month,7,561.0417
month,8,-75.151605
month,9,-75.151605
month,10,-75.151605
allTime,0,0.0
allTime,1,-4554.073462
allTime,2,-9337.737605
allTime,3,-12297.152649
allTime,4,-21265.544412
allTime,5,-27778.752093
allTime,6,-29537.987295
allTime,7,-30044.429976
allTime,8,-31802.307287
allTime,9,-31373.93899
allTime,10,-31913.239997
