series,idx,value
day,0,0.0
day,1,14.809388
day,2,258.919963
day,3,753.115086
day,4,383.732357
day,5,525.5112
day,6,1721.003485
day,7,1976.998817
day,8,1773.808051
day,9,2024.87972
day,10,2304.870595
day,11,2192.685057
day,12,3181.745205
week,0,0.0
week,1,390.880174
week,2,-456.264703
week,3,2414.091176
week,4,82.228904
week,5,2055.319216
week,6,735.130381
week,7,-306.53356
week,8,7759.972847
week,9,9480.976332
week,10,10941.718052
month,0,0.0
month,1,12461.402079
month,2,12461.402079
month,3,12461.402079
month,4,12461.402079
month,5,12461.402079
month,6,12202.121542
month,7,14402.459932
month,8,12652.558348
month,9,11303.995693
month,10,20579.128942
month,11,23007.759061
allTime,0,0.0
allTime,1,7827.266793
allTime,2,-20532.55527
allTime,3,-11147.730757
allTime,4,-12649.717008
allTime,5,-188.314929
allTime,6,-188.314929
allTime,7,-188.314929
allTime,8,-188.314929
allTime,9,2.84134
allTime,10,9153.295665
allTime,11,10358.042053
