series,idx,value
day,0,0.0
day,1,-0.442553
day,2,2.147236
day,3,1.285915
day,4,-0.37409
day,5,3.991595
day,6,0.789127
day,7,0.617472
day,8,0.74451
day,9,-0.235958
day,10,-0.091431
day,11,-0.520715
day,12,-1.226557
day,13,-0.395165
week,0,0.0
week,1,6.852575
week,2,1.284431
week,3,1.291384
week,4,-2.295242
week,5,-4.885078
week,6,-6.676005
week,7,-3.35497
week,8,-0.821484
week,9,2.417823
week,10,0.034629
week,11,-0.124578
month,0,0.0
month,1,-6.558156
month,2,5.360228
month,3,0.957854
month,4,-10.027473
month,5,-3.549759
month,6,-3.228676
month,7,1.566957
month,8,-6.701012
month,9,-9.817662
month,10,-5.492102
month,11,-3.910568
month,12,-3.785018
allTime,0,0.0
allTime,1,702395.082219
allTime,2,859283.118591
allTime,3,1345842.14073
allTime,4,2547590.497801
allTime,5,1957926.440916
allTime,6,1998641.751721
allTime,7,1998641.751721
allTime,8,1998641.745835
allTime,9,1998632.571475
allTime,10,1998429.975842
allTime,11,1998382.567113
allTime,12,1998382.331854
