series,idx,value
day,0,0.0
day,1,2.814213
day,2,3.419301
day,3,3.145929
day,4,3.088526
day,5,2.860949
day,6,2.366522
day,7,4.614599
day,8,7.833517
day,9,8.346549
day,10,9.407678
day,11,9.730604
day,12,13.229915
week,0,0.0
week,1,4.320257
week,2,-0.457593
week,3,-3.012173
week,4,-13.373749
week,5,-66.658973
week,6,-55.124855
week,7,-39.30642
week,8,-11.71903
week,9,-7.104431
week,10,1.510885
month,0,0.0
month,1,-64.758877
month,2,-48.989361
month,3,-39.650206
month,4,-42.684067
month,5,-43.225455
month,6,-35.45858
month,7,-50.707397
month,8,-67.096588
month,9,-74.355648
month,10,-40.341411
month,11,-30.200022
allTime,0,0.0
allTime,1,-63.357227
allTime,2,-99.782617
allTime,3,12.137071
allTime,4,-51.894882
allTime,5,173.697451
allTime,6,220.635537
allTime,7,201.393258
allTime,8,234.079399
allTime,9,199.462414
allTime,10,155.117506
allTime,11,210.843442
