series,idx,value
day,0,0.0
day,1,-10559.466962
day,2,-15192.290696
day,3,-111336.182576
day,4,-131214.480223
day,5,-217951.147895
day,6,-165621.504849
day,7,-197513.785256
day,8,-202347.894319
day,9,-217509.709497
day,10,-201208.193934
week,0,0.0
week,1,19079.890501
week,2,185857.942534
week,3,252856.015573
week,4,528107.297202
week,5,534430.016069
week,6,548222.519886
week,7,577708.782294
week,8,774029.175949
week,9,705946.146228
week,10,488037.122174
week,11,499394.260132
month,0,0.0
month,1,-22981.659931
month,2,212305.377939
month,3,366546.31982
month,4,424319.05862
month,5,825607.124421
month,6,827083.335106
month,7,836180.677676
month,8,1526931.509333
month,9,1386425.536842
month,10,1477962.055655
month,11,1305790.492904
month,12,1337278.855391
allTime,0,0.0
allTime,1,89941.04228
allTime,2,57163.921647
allTime,3,321339.707401
allTime,4,1115434.300537
allTime,5,896445.973914
allTime,6,1215300.648545
allTime,7,1445292.561544
allTime,8,1828602.395027
allTime,9,1839175.948282
allTime,10,2430219.528718
allTime,11,2340274.125997
