series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,-27.05686
month,2,-55.951704
month,3,-51.745875
month,4,-65.111337
month,5,-65.111337
month,6,-65.111337
month,7,-65.111337
month,8,-65.111337
month,9,-65.111337
month,10,-65.111337
month,11,-65.111337
month,12,-65.111337
allTime,0,0.0
allTime,1,-3952.03821
allTime,2,-3811.641471
allTime,3,-4266.697287
allTime,4,-4220.05956
allTime,5,-4713.077058
allTime,6,-4747.421337
allTime,7,-4751.636863
allTime,8,-4756.379966
allTime,9,-4756.379966
allTime,10,-4756.379966
