series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
month,0,0.0
month,1,0.0
month,2,521.270265
month,3,521.270265
month,4,2690.648622
month,5,2690.648622
month,6,2690.648622
month,7,2690.648622
month,8,2690.648622
month,9,2690.648622
month,10,2690.648622
month,11,2690.648622
allTime,0,0.0
allTime,1,-4215.125942
allTime,2,-1311.616567
allTime,3,-1772.092396
allTime,4,552.835872
allTime,5,1302.405963
allTime,6,1074.106137
allTime,7,3243.484494
allTime,8,3243.484494
allTime,9,3243.484494
allTime,10,3243.484494
allTime,11,3243.484494
