series,idx,value
day,0,0.0
day,1,4.021455
day,2,85.006487
day,3,202.94397
day,4,82.605297
day,5,34.3247
day,6,101.495922
day,7,117.952492
day,8,199.050694
day,9,302.830644
day,10,296.144628
day,11,313.075502
day,12,293.749412
week,0,0.0
week,1,25.274926
week,2,271.798286
week,3,-308.342803
week,4,-398.790018
week,5,-1884.849784
week,6,-1845.387069
week,7,-1018.268979
week,8,-367.484214
week,9,-265.988292
week,10,-73.734802
month,0,0.0
month,1,-1071.588189
month,2,-654.882087
month,3,-209.9407
month,4,-352.720095
month,5,-438.733982
month,6,-67.084233
month,7,-594.213495
month,8,-521.71997
month,9,-1392.811469
month,10,-266.351423
month,11,-175.545981
allTime,0,0.0
allTime,1,351.359925
allTime,2,2446.902819
allTime,3,3041.559848
allTime,4,1879.576156
allTime,5,1243.525714
allTime,6,4728.480913
allTime,7,4884.129307
allTime,8,5329.070694
allTime,9,5317.656903
allTime,10,5915.681797
allTime,11,5235.560205
allTime,12,5171.211923
allTime,13,5363.465413
