series,idx,value
day,0,0.0
day,1,-81.706914
day,2,-356.063725
day,3,-335.453432
day,4,-537.475092
day,5,-425.722203
day,6,12.115105
day,7,240.516828
day,8,179.971055
day,9,278.95359
day,10,266.517728
day,11,341.948287
day,12,273.194039
week,0,0.0
week,1,-141.794633
week,2,283.431176
week,3,42.534367
week,4,745.124217
week,5,1104.106513
week,6,1132.853633
week,7,889.926817
week,8,546.177513
week,9,297.950019
week,10,833.984799
week,11,927.207783
month,0,0.0
month,1,-1328.179392
month,2,-1991.981785
month,3,-1464.38839
month,4,-537.952684
month,5,-1749.33011
month,6,-1377.478456
month,7,-1877.800087
month,8,-1066.578343
month,9,-581.004677
month,10,-1239.909289
month,11,-900.953382
month,12,-894.277071
allTime,0,0.0
allTime,1,5959.204909
allTime,2,5661.793546
allTime,3,10281.656442
allTime,4,8053.876468
allTime,5,7925.722823
allTime,6,12490.346029
allTime,7,11961.408638
allTime,8,11134.73302
allTime,9,11057.333797
allTime,10,11570.506893
