series,idx,value
day,0,0.0
day,1,101.574005
day,2,421.585039
day,3,192.656246
day,4,78.917783
day,5,118.313434
day,6,116.715168
day,7,249.386672
day,8,1124.670383
day,9,966.491804
day,10,876.967388
day,11,843.089725
day,12,975.849692
day,13,1065.12077
week,0,0.0
week,1,-0.281836
week,2,-0.281836
week,3,-0.289511
week,4,-0.289511
week,5,-0.289511
week,6,-0.289511
week,7,-28.076792
week,8,2577.940113
week,9,2791.424204
week,10,3648.960462
week,11,3738.23154
month,0,0.0
month,1,-2583.708528
month,2,-5909.089816
month,3,-5166.695794
month,4,-6576.07358
month,5,-6576.081215
month,6,-6576.367439
month,7,-6576.649275
month,8,-6576.65695
month,9,-6576.65695
month,10,-3481.67163
month,11,-2838.135899
allTime,0,0.0
allTime,1,-302.359203
allTime,2,-393.830165
allTime,3,273.391236
allTime,4,-268.551195
allTime,5,21710.649472
allTime,6,34826.14662
allTime,7,31511.679763
allTime,8,13676.038572
allTime,9,21199.415096
allTime,10,29307.566673
allTime,11,33045.518213
