series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,-16.793267
month,2,-16.793267
month,3,-16.793267
month,4,-16.793267
month,5,-16.793267
month,6,-16.793267
month,7,-16.793267
month,8,-16.793267
month,9,-16.793267
month,10,-16.793267
month,11,-16.793267
month,12,-16.793267
allTime,0,0.0
allTime,1,-1217.420401
allTime,2,-1575.719757
allTime,3,-1575.719757
allTime,4,-1575.719757
allTime,5,-1575.719757
allTime,6,-1469.95056
allTime,7,262.74161
allTime,8,100.74188
allTime,9,100.74188
allTime,10,100.74188
