series,idx,value
day,0,0.0
day,1,0.0
day,2,-405.26
day,3,-405.26
day,4,-405.26526
day,5,-405.26526
day,6,-405.26526
day,7,-405.26526
day,8,-405.26526
day,9,-405.26526
day,10,-405.26526
day,11,-405.26526
day,12,-405.26526
day,13,-405.26526
week,0,0.0
week,1,-549.100266
week,2,-1283.264101
week,3,1649.124664
week,4,1592.408976
week,5,7681.823184
week,6,8100.590208
week,7,8100.590208
week,8,8100.590208
week,9,7695.330208
week,10,7695.324948
week,11,7695.324948
month,0,0.0
month,1,3496.261606
month,2,3679.571148
month,3,-2292.948254
month,4,-4428.760976
month,5,-7672.257772
month,6,-8560.636108
month,7,-6542.859715
month,8,1700.698165
month,9,1700.698165
month,10,1295.432905
allTime,0,0.0
allTime,1,-881.429214
allTime,2,-1816.821773
allTime,3,-5685.598703
allTime,4,-14218.666189
allTime,5,-18062.882259
allTime,6,-16439.5299
allTime,7,-8397.649804
allTime,8,16692.860854
allTime,9,12434.415328
allTime,10,12211.207311
allTime,11,20867.602308
