series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,4.813038
day,8,-0.990047
day,9,-0.990047
day,10,-0.990047
day,11,-0.990047
day,12,-0.990047
week,0,0.0
week,1,17.835647
week,2,17.835647
week,3,54.540509
week,4,104.641319
week,5,104.641319
week,6,46.782513
week,7,46.754238
week,8,46.754238
week,9,46.754238
week,10,46.754238
week,11,45.764191
month,0,0.0
month,1,-819.282504
month,2,-734.961962
month,3,-728.970611
month,4,-728.970611
month,5,-739.680239
month,6,-364.690822
month,7,-282.529215
month,8,-285.788399
month,9,-195.723543
month,10,-253.610624
month,11,-253.610624
month,12,-254.600671
allTime,0,0.0
allTime,1,270.749698
allTime,2,375.765715
allTime,3,381.757066
allTime,4,381.757066
allTime,5,933.383093
allTime,6,828.198462
allTime,7,864.903324
allTime,8,857.136998
allTime,9,857.117053
allTime,10,856.127006
