series,idx,value
day,0,0.0
day,1,-830.58813
day,2,-622.00194
day,3,144.786609
day,4,-1064.054859
day,5,-839.231469
day,6,-102.319593
day,7,153.831157
day,8,-20.371317
day,9,66.313684
day,10,-247.662467
day,11,-218.304138
day,12,-52.636356
week,0,0.0
week,1,1485.826452
week,2,463.103868
week,3,-654.179032
week,4,-1249.711625
week,5,-1433.657891
week,6,-1417.028567
week,7,-1540.19607
week,8,-1963.464156
week,9,-3655.454794
week,10,-2839.062402
week,11,-2644.036291
month,0,0.0
month,1,0.0
month,2,-57.365333
month,3,-107.967908
month,4,-175.729179
month,5,-2109.818556
month,6,-4897.934448
month,7,-3025.813324
month,8,-5673.317722
month,9,-6254.43626
month,10,-6518.79793
month,11,-7362.493944
month,12,-7481.443984
allTime,0,0.0
allTime,1,-13539.989217
allTime,2,-38513.833269
allTime,3,-24752.759232
allTime,4,27328.750503
allTime,5,3705.700021
allTime,6,40092.731574
allTime,7,68846.242131
allTime,8,68738.274223
allTime,9,66736.423575
allTime,10,62591.805871
allTime,11,61364.798147
