series,idx,value
day,0,0.0
day,1,1.128818
day,2,1.882973
day,3,2.78348
day,4,0.832621
day,5,0.429458
day,6,1.700458
day,7,1.884148
day,8,0.268496
day,9,1.070399
day,10,1.324888
day,11,-0.263872
week,0,0.0
week,1,2.734166
week,2,-0.323085
week,3,3.077355
week,4,-3.432951
week,5,3.526122
week,6,-0.256352
week,7,-1.329376
week,8,-3.680058
week,9,-12.272605
week,10,-13.887082
week,11,-14.41945
month,0,0.0
month,1,-130.395251
month,2,-130.395251
month,3,-130.395251
month,4,-130.395251
month,5,-141.31521
month,6,-133.111448
month,7,-132.436281
month,8,-134.30497
month,9,-149.533889
month,10,-149.933086
allTime,0,0.0
allTime,1,0.0
allTime,2,625.620498
allTime,3,427.304733
allTime,4,-1079.65373
allTime,5,-3010.783156
allTime,6,-3167.02295
allTime,7,-4482.930685
allTime,8,-4522.395991
allTime,9,-4546.691602
allTime,10,-4518.342336
allTime,11,-4541.933826
