series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,-99.187472
day,5,-99.187472
day,6,-99.187472
day,7,-99.187472
day,8,-99.187472
day,9,-99.187472
day,10,-99.187472
day,11,-99.187472
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,57.200002
week,5,187.686815
week,6,223.357046
week,7,138.339285
week,8,93.478048
week,9,93.478048
week,10,-5.709424
week,11,-5.709424
month,0,0.0
month,1,-331.043272
month,2,-331.045424
month,3,-658.855929
month,4,-159.47248
month,5,-361.304688
month,6,-480.393733
month,7,-480.393733
month,8,-480.393733
month,9,-286.382244
month,10,-386.915685
month,11,-486.103157
month,12,-486.103157
allTime,0,0.0
allTime,1,-37.0113
allTime,2,-42.052686
allTime,3,-37.400678
allTime,4,-65.329081
allTime,5,-51.352596
allTime,6,-325.231375
allTime,7,239.276119
allTime,8,989.029831
allTime,9,1243.85597
allTime,10,833.969946
