series,idx,value
day,0,0.0
day,1,57.183459
day,2,45.312014
day,3,54.478221
day,4,216.393274
day,5,217.646663
day,6,285.048456
day,7,339.718939
day,8,308.042902
day,9,301.542977
day,10,361.981926
day,11,451.577814
day,12,588.721452
week,0,0.0
week,1,417.143093
week,2,81.261935
week,3,789.038409
week,4,897.80803
week,5,2362.555523
week,6,2616.164459
week,7,2355.954479
week,8,1750.592978
week,9,2090.311917
week,10,2339.31443
month,0,0.0
month,1,1165.373748
month,2,460.720196
month,3,1209.928242
month,4,2545.534105
month,5,3458.729786
month,6,2858.649587
month,7,3859.216171
month,8,4296.140333
month,9,5785.317894
month,10,4875.86617
month,11,5419.275608
allTime,0,0.0
allTime,1,-1892.041666
allTime,2,-2398.896451
allTime,3,-2747.593292
allTime,4,-2001.107719
allTime,5,-1591.24659
allTime,6,356.193805
allTime,7,-57.936538
allTime,8,608.504561
allTime,9,2289.542903
allTime,10,2012.692874
