series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,-36129.192929
day,5,-35761.45113
day,6,-3197.214375
day,7,767.066721
day,8,17542.330315
day,9,5416.812692
day,10,3329.944194
day,11,-12762.598887
day,12,-4060.153386
day,13,-6839.66269
week,0,0.0
week,1,35381.059736
week,2,52076.438437
week,3,121303.660401
week,4,134932.6302
week,5,144128.654526
week,6,147003.723391
week,7,71056.48472
week,8,62451.134504
week,9,79993.464819
week,10,55611.471814
month,0,0.0
month,1,27205.104634
month,2,39235.126369
month,3,103616.569598
month,4,137263.936505
month,5,160114.603499
month,6,149525.70855
month,7,113074.779001
month,8,62451.134504
month,9,63218.201225
month,10,55611.471814
allTime,0,0.0
allTime,1,35381.059736
allTime,2,43520.670565
allTime,3,125885.654423
allTime,4,129514.727196
allTime,5,158609.405231
allTime,6,190753.530217
allTime,7,103210.154488
allTime,8,62451.134504
allTime,9,63218.201225
allTime,10,55611.471814
