series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,15.422786
day,6,-140.339373
day,7,-160.831117
day,8,-151.535749
day,9,-151.47455
day,10,-151.551804
day,11,-151.481571
day,12,-151.501166
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,-160.831117
week,11,-151.501166
month,0,0.0
month,1,0.0
month,2,0.0
month,3,0.0
month,4,0.0
month,5,0.0
month,6,0.0
month,7,0.0
month,8,0.0
month,9,0.0
month,10,0.0
month,11,-151.535749
month,12,-151.501166
allTime,0,0.0
allTime,1,-49531.619175
allTime,2,36827.374807
allTime,3,28258.925109
allTime,4,9010.761932
allTime,5,6895.586779
allTime,6,7155.388798
allTime,7,6172.810336
allTime,8,2916.057
allTime,9,2916.057
allTime,10,2764.555834
