series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,10.005627
week,2,10.005627
week,3,10.005627
week,4,10.005627
week,5,10.005627
week,6,10.005627
week,7,10.005627
week,8,10.005627
week,9,10.005627
week,10,10.005627
week,11,10.005627
month,0,0.0
month,1,0.0
month,2,-24.99887
month,3,-32.058869
month,4,-32.068868
month,5,-32.068868
month,6,-114.632609
month,7,-124.225441
month,8,-124.225441
month,9,-124.225441
month,10,-124.225441
month,11,-124.225441
month,12,-124.225441
allTime,0,0.0
allTime,1,245.166803
allTime,2,522.873597
allTime,3,319.949351
allTime,4,318.33956
allTime,5,304.657966
allTime,6,368.114977
allTime,7,343.116107
allTime,8,336.046109
allTime,9,243.889536
allTime,10,243.889536
