series,idx,value
day,0,0.0
day,1,-180.541295
day,2,-457.873111
day,3,-67.914839
day,4,194.442097
day,5,85.223628
day,6,-55.007627
day,7,-341.266088
day,8,-693.940117
day,9,-622.994005
day,10,-857.312148
day,11,-931.120203
week,0,0.0
week,1,-422.160437
week,2,-18.803377
week,3,314.602015
week,4,78.224607
week,5,3430.376205
week,6,2377.538633
week,7,1462.823314
week,8,72.958159
week,9,-102.119178
week,10,-1118.463009
month,0,0.0
month,1,6964.425817
month,2,4536.056341
month,3,7145.988453
month,4,8626.249631
month,5,9398.098841
month,6,14660.069185
month,7,16334.109005
month,8,17198.684228
month,9,15410.243396
month,10,15342.1878
month,11,14216.6255
allTime,0,0.0
allTime,1,49250.401386
allTime,2,8443.191132
allTime,3,-33193.58854
allTime,4,30065.485241
allTime,5,79126.18519
allTime,6,83453.325258
allTime,7,89229.339045
allTime,8,66817.133507
allTime,9,39883.54579
allTime,10,66942.889286
allTime,11,71802.54416
allTime,12,70608.926264
