series,idx,value
day,0,0.0
day,1,-0.019633
day,2,0.149595
day,3,0.265221
day,4,0.25287
day,5,0.554396
day,6,0.210309
day,7,0.011876
day,8,0.512587
day,9,0.483788
day,10,0.755363
day,11,1.059018
day,12,1.044376
week,0,0.0
week,1,-0.901427
week,2,0.69926
week,3,-3.389442
week,4,-3.644008
week,5,-2.539233
week,6,-3.477769
week,7,-2.504552
week,8,-2.354992
week,9,1.721075
week,10,1.931384
week,11,2.765451
month,0,0.0
month,1,49.742691
month,2,5.093428
month,3,-21.420563
month,4,-20.291019
month,5,-13.06137
month,6,-26.418998
month,7,-29.103269
month,8,-32.363591
month,9,-30.750011
month,10,-30.276933
month,11,-25.514499
month,12,-24.735344
allTime,0,0.0
allTime,1,-25.555889
allTime,2,324.25862
allTime,3,327.661667
allTime,4,326.029384
allTime,5,253.973679
allTime,6,277.108402
allTime,7,278.264383
allTime,8,210.277044
allTime,9,172.630524
allTime,10,177.142277
