series,idx,value
day,0,0.0
day,1,779.994285
day,2,-578.303137
day,3,-1125.14945
day,4,-1163.088357
day,5,-2620.277689
day,6,-288.618417
day,7,-17.684773
day,8,553.611403
day,9,-61.666168
day,10,230.720878
day,11,-112.34676
day,12,-168.342401
day,13,154.406178
week,0,0.0
week,1,7954.939171
week,2,1700.03665
week,3,-8875.038477
week,4,-9089.817942
week,5,-8226.027751
week,6,-12319.315938
week,7,-18774.564706
week,8,-26866.630176
week,9,-26059.589996
week,10,-24927.675456
week,11,-25326.880681
month,0,0.0
month,1,-18918.533363
month,2,-4456.777711
month,3,-15770.505721
month,4,-7246.083925
month,5,-23323.388795
month,6,-33471.104175
month,7,-29676.807473
month,8,-46222.205043
month,9,-45573.194317
month,10,-57377.424723
month,11,-62846.138198
month,12,-62674.047247
allTime,0,0.0
allTime,1,-8169.864797
allTime,2,3289.384779
allTime,3,5649.937287
allTime,4,-1986.794948
allTime,5,33892.768512
allTime,6,78656.512132
allTime,7,105473.945883
allTime,8,129068.118215
allTime,9,123714.472353
allTime,10,99567.77192
allTime,11,74867.156715
