series,idx,value
day,0,0.0
day,1,3.384338
day,2,3.651202
day,3,2.649581
day,4,1.137133
day,5,-0.655647
day,6,-0.569287
day,7,3.344599
day,8,2.299391
day,9,1.397444
day,10,0.574123
day,11,-1.162539
day,12,-2.236446
week,0,0.0
week,1,4.260819
week,2,1.635996
week,3,20.637314
week,4,6.174237
week,5,13.651239
week,6,11.135678
week,7,4.345197
week,8,5.669362
week,9,5.629623
week,10,0.048578
month,0,0.0
month,1,-74.804944
month,2,-125.483539
month,3,-137.043818
month,4,-142.491816
month,5,-161.02739
month,6,-143.069881
month,7,-141.433885
month,8,-132.325251
month,9,-132.701777
month,10,-140.784857
month,11,-143.021303
allTime,0,0.0
allTime,1,-2504.350325
allTime,2,-2579.155269
allTime,3,-2629.833864
allTime,4,-2641.394143
allTime,5,-2646.842141
allTime,6,-2665.377715
allTime,7,-2647.420206
allTime,8,-2626.782892
allTime,9,-2637.309918
allTime,10,-2646.297721
allTime,11,-2647.371628
