series,idx,value
day,0,0.0
day,1,0.41622
day,2,0.466346
day,3,0.280368
day,4,0.0714
day,5,-0.110382
day,6,-0.000622
day,7,0.236904
day,8,0.303721
day,9,0.298221
day,10,0.308247
day,11,-0.479221
day,12,-0.354304
week,0,0.0
week,1,0.761398
week,2,0.325984
week,3,2.385111
week,4,1.507028
week,5,2.600643
week,6,1.739715
week,7,0.743148
week,8,0.637216
week,9,0.636594
week,10,0.282912
month,0,0.0
month,1,-2.023373
month,2,-3.557235
month,3,-3.468104
month,4,-4.087165
month,5,-6.765004
month,6,-4.942593
month,7,-4.616609
month,8,-3.435565
month,9,-3.202878
month,10,-4.305377
month,11,-4.659681
allTime,0,0.0
allTime,1,-50.355233
allTime,2,-1058.415511
allTime,3,-1370.178597
allTime,4,3172.208502
allTime,5,-6328.938549
allTime,6,-6333.944653
allTime,7,-6327.754524
allTime,8,-6314.856752
allTime,9,-6319.118555
allTime,10,-6316.2663
