series,idx,value
day,0,0.0
day,1,0.043728
day,2,0.028426
day,3,0.008317
day,4,0.006753
day,5,-0.07527
day,6,-0.010766
day,7,0.015115
day,8,-0.02089
day,9,-0.02971
day,10,-0.07318
day,11,-0.128809
day,12,-0.106793
week,0,0.0
week,1,0.028119
week,2,-0.13189
week,3,0.250599
week,4,0.275435
week,5,0.70664
week,6,0.815314
week,7,0.698557
week,8,0.185365
week,9,0.174599
week,10,0.078572
month,0,0.0
month,1,-0.458585
month,2,-1.206377
month,3,-0.792368
month,4,-0.891581
month,5,-1.515289
month,6,-1.066892
month,7,-1.198782
month,8,-0.791457
month,9,-0.251578
month,10,-0.881527
month,11,-0.98832
allTime,0,0.0
allTime,1,1219.776358
allTime,2,-47.086715
allTime,3,2575.055498
allTime,4,-50473.430235
allTime,5,-50474.705011
allTime,6,-50473.800694
allTime,7,-50472.106928
allTime,8,-50471.586491
allTime,9,-50477.499418
allTime,10,-50481.253141
allTime,11,-50480.939983
