series,idx,value
day,0,0.0
day,1,76.648184
day,2,37.921556
day,3,98.622526
day,4,-36.874666
day,5,-80.150692
day,6,-68.728339
day,7,-89.682
day,8,-110.16681
day,9,-212.361205
day,10,-147.296745
day,11,-586.891741
day,12,-458.81282
week,0,0.0
week,1,1042.577137
week,2,-115.742989
week,3,1260.054467
week,4,1098.708509
week,5,2648.279758
week,6,3103.620927
week,7,3026.877244
week,8,1491.827326
week,9,1423.098987
week,10,1033.014506
month,0,0.0
month,1,581.835948
month,2,-1091.199922
month,3,-934.008944
month,4,-2733.221876
month,5,-4088.0132
month,6,-5078.052021
month,7,-5524.485182
month,8,-4634.246006
month,9,-2265.930016
month,10,-3395.868786
month,11,-4699.940009
allTime,0,0.0
allTime,1,59.687866
allTime,2,170.440003
allTime,3,-27.473963
allTime,4,1474.743548
allTime,5,3908.341192
allTime,6,3113.742495
allTime,7,4125.759393
allTime,8,372.749419
allTime,9,-5989.215535
allTime,10,-10113.263757
