series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,-2.51
day,9,-2.51
day,10,-2.51
day,11,-2.51
day,12,-2.51
day,13,-2.51
week,0,0.0
week,1,-396.115746
week,2,-294.607402
week,3,-311.635442
week,4,127.687924
week,5,505.107317
week,6,445.990703
week,7,459.856566
week,8,-273.682126
week,9,-273.682126
week,10,-276.192126
week,11,-276.192126
month,0,0.0
month,1,-2101.993816
month,2,-551.16977
month,3,-912.945698
month,4,-695.018042
month,5,-630.547938
month,6,-330.470159
month,7,-625.077561
month,8,-202.782235
month,9,115.520544
month,10,-604.152285
month,11,-606.662285
allTime,0,0.0
allTime,1,16266.844012
allTime,2,4551.865296
allTime,3,19841.051015
allTime,4,13155.248579
allTime,5,16770.831768
allTime,6,22504.162402
allTime,7,27756.846222
allTime,8,28244.781561
allTime,9,29304.633279
allTime,10,29480.524581
allTime,11,29887.108818
allTime,12,30346.965384
allTime,13,29610.916692
